A,THS_PER,LI_R_MD60,T,TOTAL,EU27_2020	71597 
A,THS_PER,LI_R_MD60,T,TOTAL,FI	666 
A,THS_PER,LI_R_MD60,T,TOTAL,FR	10207 
A,THS_PER,LI_R_MD60,T,TOTAL,HR	718 b
A,THS_PER,LI_R_MD60,T,TOTAL,HU	1304 
A,THS_PER,LI_R_MD60,T,TOTAL,IE	618 
A,THS_PER,LI_R_MD60,T,TOTAL,IT	11121 
A,THS_PER,LI_R_MD60,T,TOTAL,LT	588 
A,THS_PER,LI_R_MD60,T,TOTAL,LU	122 
A,THS_PER,LI_R_MD60,T,TOTAL,LV	419 
A,THS_PER,LI_R_MD60,T,TOTAL,MK	406 
A,THS_PER,LI_R_MD60,T,TOTAL,MT	88 
A,THS_PER,LI_R_MD60,T,TOTAL,NL	2274 
A,THS_PER,LI_R_MD60,T,TOTAL,NO	623 b
A,THS_PER,LI_R_MD60,T,TOTAL,PL	5136 
A,THS_PER,LI_R_MD60,T,TOTAL,PT	1781 
A,THS_PER,LI_R_MD60,T,TOTAL,RO	3970 
A,THS_PER,LI_R_MD60,T,TOTAL,RS	1318 
A,THS_PER,LI_R_MD60,T,TOTAL,SE	1697 
A,THS_PER,LI_R_MD60,T,TOTAL,SI	264 
A,THS_PER,LI_R_MD60,T,TOTAL,SK	766 
A,THS_PER,LI_R_MD60,T,TOTAL,TR	17430 
